name,mass,x,y,z,vx,vy,vz
sun, 1.988544e30, -3.430031536367300E-03, 1.761881027012596E-03, 1.246691303879918E-05, 3.433119412673547E-06, -5.231300927361546E-06, -2.972974735550750E-08
mercury, 3.302e23, 8.887985138765460E-02, -4.426150338141062E-01, -4.475716356484761E-02, 2.190877912081542E-02, 7.161568136528000E-03, -1.425929443086507E-03
venus, 48.685e23, 4.043738093622098E-02, -7.239789211502183E-01, -1.241560658530024E-02, 2.005742309538389E-02, 1.141448268256643E-03, -1.142174441569258E-03
earth, 5.97219e24, -2.020844529756663E-02, -1.014332737790859E+00, -1.358267619371298E-05, 1.692836723212859E-02, -3.484006532982474E-04, 6.028542314557626E-07
mars, 6.4185e23, 7.462481663749645E-01, -1.181663652521456E+00, -4.321921404013512E-02, 1.235610918162121E-02, 8.680869489377649E-03, -1.220500608452554E-04
jupyter, 1898.13e24, 3.384805319103406E+00, 3.658805636759595E+00, -9.100441946210819E-02, -5.634671617093230E-03, 5.479180979634376E-03, 1.034981407898108E-04
saturn, 5.68319e26, -1.083899692644216E-01, -1.003995196286016E+01, 1.793391553155583E-01, 5.278410787728323E-03, -7.712342079566598E-05, -2.084447335785041E-04
neptune, 102.41e24, 4.675566709791660E+00, -2.985428200863175E+01, 5.070034142531887E-01, 3.080716380724798E-03, 5.030733458293977E-04, -8.101711269674541E-05
uranus, 86.8103e24, -2.693448460292631E-01, -1.927606446869220E+01, -6.808868692550485E-02, 3.903100242621723E-03, -2.380111092360100E-04, -5.164025224695875E-05
pluto, 1.307e22, -2.129074273328636E+01, -1.896633337434039E+01, 8.187955378677129E+00, 2.276295756013608E-03, -2.670481848836963E-03, -3.669545371032554E-04
